IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,##########,17:50,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.47565,37.7285281,"(37.7285280627465, -122.475647460786)",1.6001E+13
160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,##########,20:15,INGLESIDE,NONE,0 Block of VIRGINIA AV,-122.42097,37.7428517,"(37.7428517374449, -122.420967440564)",1.6001E+13
160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,##########,21:20,TENDERLOIN,NONE,100 Block of HYDE ST,-122.41567,37.7821198,"(37.7821198488931, -122.415669661443)",1.6001E+13
160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,##########,21:30,SOUTHERN,NONE,200 Block of 6TH ST,-122.40635,37.7791674,"(37.7791674218963, -122.406346425632)",1.6001E+13
160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,##########,19:40,MISSION,NONE,2300 Block of 16TH ST,-122.40953,37.7657184,"(37.7657184395282, -122.409529913278)",1.6001E+13
160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,##########,21:45,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034,37.7754207,"(37.775420706711, -122.403404791479)",1.6001E+13
160010527,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,##########,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.41074,37.7675243,"(37.767524308783, -122.410738097315)",1.6001E+13
160010527,ARSON,ARSON OF A COMMERCIAL BUILDING,Monday,##########,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.41074,37.7675243,"(37.767524308783, -122.410738097315)",1.6001E+13
140927099,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.44431,37.7131083,"(37.7131083433264, -122.444314025188)",1.4093E+13
140927099,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.44431,37.7131083,"(37.7131083433264, -122.444314025188)",1.4093E+13
141000705,MISSING PERSON,MISSING ADULT,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.40364,37.766016,"(37.7660160114103, -122.403644620439)",1.41E+13
141000705,MISSING PERSON,FOUND PERSON,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.40364,37.766016,"(37.7660160114103, -122.403644620439)",1.41E+13
160010878,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,##########,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-122.41471,37.776231,"(37.7762310404758, -122.414714295579)",1.6001E+13
160010878,MISSING PERSON,FOUND PERSON,Monday,##########,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-122.41471,37.776231,"(37.7762310404758, -122.414714295579)",1.6001E+13
160010890,VEHICLE THEFT,STOLEN TRUCK,Tuesday,##########,05:25,NORTHERN,NONE,HAYES ST / POLK ST,-122.41805,37.7775119,"(37.7775118895695, -122.418045452768)",1.6001E+13
160010975,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,##########,07:43,SOUTHERN,"ARREST, CITED",4TH ST / FOLSOM ST,-122.40116,37.7820238,"(37.7820238478975, -122.401161555602)",1.6001E+13
160011014,WARRANTS,WARRANT ARREST,Tuesday,##########,02:28,BAYVIEW,"ARREST, BOOKED",2700 Block of SAN BRUNO AV,-122.40341,37.7270053,"(37.72700531963, -122.403408669191)",1.6001E+13
160011177,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,##########,08:00,TENDERLOIN,NONE,300 Block of EDDY ST,-122.41293,37.7838344,"(37.7838344374141, -122.412930522059)",1.6001E+13
160011183,NON-CRIMINAL,TARASOFF REPORT,Tuesday,##########,09:45,MISSION,NONE,2700 Block of MISSION ST,-122.41859,37.7530187,"(37.7530186537446, -122.418587172219)",1.6001E+13
141066456,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,##########,23:08,SOUTHERN,"ARREST, BOOKED",10TH ST / HOWARD ST,-122.41437,37.7740418,"(37.7740418385041, -122.414370627495)",1.4107E+13
160011860,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,##########,14:06,CENTRAL,NONE,200 Block of KEARNY ST,-122.40392,37.790539,"(37.790538993725, -122.403915681571)",1.6001E+13
160012006,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,##########,15:15,NORTHERN,"ARREST, BOOKED",POLK ST / EDDY ST,-122.41918,37.7830998,"(37.7830998244592, -122.419183096362)",1.6001E+13
160012012,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,##########,15:14,BAYVIEW,"ARREST, BOOKED",4000 Block of 3RD ST,-122.38875,37.7407361,"(37.7407360548358, -122.388753046997)",1.6001E+13
160012028,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,##########,14:00,PARK,NONE,DIVISADERO ST / HAYES ST,-122.4378,37.7749913,"(37.7749912944366, -122.437799703468)",1.6001E+13
160012034,MISSING PERSON,MISSING ADULT,Tuesday,##########,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-122.42133,37.7770903,"(37.7770902743669, -122.421332684633)",1.6001E+13
160012034,MISSING PERSON,FOUND PERSON,Tuesday,##########,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-122.42133,37.7770903,"(37.7770902743669, -122.421332684633)",1.6001E+13
160012040,WARRANTS,WARRANT ARREST,Tuesday,##########,14:00,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.44661,37.7822458,"(37.7822458223917, -122.446612978839)",1.6001E+13
160012266,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,##########,16:10,BAYVIEW,NONE,SAN BRUNO AV / FELTON ST,-122.40459,37.730038,"(37.7300379995128, -122.404594140634)",1.6001E+13
160012307,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,##########,16:00,CENTRAL,NONE,100 Block of CLAY ST,-122.39737,37.7953338,"(37.7953338267436, -122.397373740066)",1.6001E+13
160012313,WARRANTS,WARRANT ARREST,Tuesday,##########,16:22,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-122.40743,37.7875159,"(37.7875158741623, -122.407434989523)",1.6001E+13
160012329,PROSTITUTION,SOLICITS LEWD ACT,Tuesday,##########,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-122.40346,37.7785234,"(37.7785233776032, -122.403464080033)",1.6001E+13
160012329,OTHER OFFENSES,INDECENT EXPOSURE,Tuesday,##########,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-122.40346,37.7785234,"(37.7785233776032, -122.403464080033)",1.6001E+13
